language,language_code,resource_lookup_code,resource_score_log_pages,script,script_name,macroarea,family,genus,num_countries,latitude,longitude
ibo_latn,ig,ibo,10.043854,Latn,Latin,Africa,Niger-Congo,Igboid,1,6,7.33333333333
idu_latn,idu,idu,,Latn,Latin,Africa,Niger-Congo,Idomoid,1,6.91666666667,7.5
ilo_latn,ilo,ilo,,Latn,Latin,Papunesia,Austronesian,Northern Luzon,1,16,121
ind,id,ind,16.978261,Latn,Latin,Papunesia,Austronesian,Malayo-Sumbawan,1,0,106
ind_latn,id,ind,16.978261,Latn,Latin,Papunesia,Austronesian,Malayo-Sumbawan,1,0,106
isl_latn,isl,isl,13.705531,Latn,Latin,Eurasia,Indo-European,Germanic,1,65,-17
iso_latn,iso,iso,,Latn,Latin,Africa,Niger-Congo,Edoid,1,5.5,6.25
it,it,ita,17.759291,Latn,Latin,Eurasia,Indo-European,Romance,2,43,12
ita,it,ita,17.759291,Latn,Latin,Eurasia,Indo-European,Romance,2,43,12
ita_latn,it,ita,17.759291,Latn,Latin,Eurasia,Indo-European,Romance,2,43,12
ja,ja,jpn,18.644398,Jpan,Japanese,Eurasia,Japanese,Japanese,1,37,140
jav_latn,jv,jav,11.062386,Latn,Latin,Papunesia,Austronesian,Javanese,1,-7,111
jpn,ja,jpn,18.644398,Jpan,Japanese,Eurasia,Japanese,Japanese,1,37,140
jpn_jpan,ja,jpn,18.644398,Jpan,Japanese,Eurasia,Japanese,Japanese,1,37,140
kac_latn,kac,kac,,Latn,Latin,Eurasia,Sino-Tibetan,Brahmaputran,1,25.4166666667,97
kan_knda,kan,kan,12.816593,Knda,Kannada,Eurasia,Dravidian,Dravidian,1,14,76
kat_geor,kat,kat,13.785377,Geor,Georgian,Eurasia,Kartvelian,Kartvelian,1,42,44
kaz_cyrl,kaz,kaz,13.637963,Cyrl,Cyrillic,Eurasia,Altaic,Turkic,1,50,70
kea_latn,kea,kea,,Latn,Latin,North America,Mayan,Mayan,1,15.3333333333,-91.6666666667
khk_cyrl,khk,khk,,Cyrl,Cyrillic,Eurasia,Altaic,Mongolic,1,47,105
khm_khmr,khm,khm,12.372536,Khmr,Khmer,Eurasia,Austro-Asiatic,Khmer,1,12.5,105
kin_latn,kin,kin,10.853596,Latn,Latin,Africa,Niger-Congo,Bantu,1,-2,30
kir,ky,kir,12.405014,Arab,Arabic,Eurasia,Altaic,Turkic,1,42,75
kir_cyrl,ky,kir,12.405014,Cyrl,Cyrillic,Eurasia,Altaic,Turkic,1,42,75
km,km,khm,12.372536,Khmr,Khmer,Eurasia,Austro-Asiatic,Khmer,1,12.5,105
ko,ko,kor,16.712031,Kore,Korean,Eurasia,Korean,Korean,2,37.5,128
kor,ko,kor,16.712031,Kore,Korean,Eurasia,Korean,Korean,2,37.5,128
kor_hang,ko,kor,16.712031,Kore,Korean,Eurasia,Korean,Korean,2,37.5,128
lao_laoo,lao,lao,11.464058,Laoo,Lao,Eurasia,Tai-Kadai,Kam-Tai,2,18,103
lav_latn,lav,lav,14.539446,Latn,Latin,Eurasia,Indo-European,Baltic,1,57,24
lin_latn,lin,lin,8.983151,Latn,Latin,Africa,Niger-Congo,Bantu,1,2,18.5
lit,lt,lit,15.168655,Latn,Latin,Eurasia,Indo-European,Baltic,1,55,24
lit_latn,lt,lit,15.168655,Latn,Latin,Eurasia,Indo-European,Baltic,1,55,24
lug_latn,lug,lug,8.485888,Latn,Latin,Africa,Niger-Congo,Bantu,1,0.5,32.1666666667
luo_latn,luo,luo,,Latn,Latin,Africa,Eastern Sudanic,Western Nilotic,2,-0.5,34.75
mal_mlym,mal,mal,13.263801,Mlym,Malayalam,Eurasia,Dravidian,Dravidian,1,10,76.5
mar_deva,mr,mar,13.412659,Deva,Devanagari,Eurasia,Indo-European,Indic,1,19,76
mkd_cyrl,mkd,mkd,13.634541,Cyrl,Cyrillic,Eurasia,Indo-European,Slavic,1,41.6666666667,21.75
mlg,mg,mlg,11.484678,Latn,Latin,Africa,Afro-Asiatic,Biu-Mandara,1,11.5,13.75
mlt_latn,mlt,mlt,11.175503,Latn,Latin,Eurasia,Afro-Asiatic,Semitic,1,35.9166666667,14.4166666667
mni_beng,mni,mni,,Beng,Bangla,Eurasia,Sino-Tibetan,Manipuri,1,24.75,94
mni_mtei,mni,mni,,Mtei,Meitei Mayek,Eurasia,Sino-Tibetan,Manipuri,1,24.75,94
